Lineage	Gene
Arthropoda	66028at6656
Arthropoda	123790at6656
Arthropoda	126483at6656
Arthropoda	68491at6656
Arthropoda	104769at6656
Arthropoda	60333at6656
Arthropoda	127661at6656
Arthropoda	36463at6656
Arthropoda	56010at6656
Arthropoda	91005at6656
Arthropoda	137609at6656
Arthropoda	41990at6656
Arthropoda	118831at6656
Arthropoda	153312at6656
Arthropoda	69403at6656
Arthropoda	50792at6656
Arthropoda	108240at6656
Arthropoda	103747at6656
Arthropoda	54527at6656
Arthropoda	13934at6656
Arthropoda	40929at6656
Arthropoda	125716at6656
Arthropoda	68981at6656
Arthropoda	50191at6656
Arthropoda	149126at6656
Arthropoda	132441at6656
Arthropoda	166476at6656
Arthropoda	130825at6656
Arthropoda	129989at6656
Arthropoda	85680at6656
Arthropoda	80689at6656
Arthropoda	86654at6656
Arthropoda	96601at6656
Arthropoda	31634at6656
Arthropoda	105771at6656
Arthropoda	135859at6656
Arthropoda	121002at6656
Arthropoda	129618at6656
Arthropoda	109174at6656
Arthropoda	13833at6656
Arthropoda	131668at6656
Arthropoda	119951at6656
Arthropoda	113818at6656
Arthropoda	29744at6656
Arthropoda	102770at6656
Arthropoda	156824at6656
Arthropoda	87928at6656
Arthropoda	49936at6656
Arthropoda	72583at6656
Arthropoda	83102at6656
Arthropoda	143459at6656
Arthropoda	21361at6656
Arthropoda	36387at6656
Arthropoda	16084at6656
Arthropoda	61180at6656
Arthropoda	18630at6656
Arthropoda	58110at6656
Arthropoda	81292at6656
Arthropoda	27515at6656
Arthropoda	84028at6656
Arthropoda	149973at6656
Arthropoda	38928at6656
Arthropoda	30962at6656
Arthropoda	131495at6656
Arthropoda	80067at6656
Arthropoda	79377at6656
Arthropoda	151658at6656
Arthropoda	61261at6656
Arthropoda	85103at6656
Arthropoda	97749at6656
Arthropoda	55094at6656
Arthropoda	83376at6656
Arthropoda	117811at6656
Arthropoda	53318at6656
Arthropoda	66770at6656
Arthropoda	77883at6656
Arthropoda	163670at6656
Arthropoda	40691at6656
Arthropoda	65490at6656
Arthropoda	42943at6656
Arthropoda	107030at6656
Arthropoda	17748at6656
Arthropoda	106116at6656
Arthropoda	67583at6656
Arthropoda	80294at6656
Arthropoda	44389at6656
Arthropoda	50947at6656
Arthropoda	51280at6656
Arthropoda	71251at6656
Arthropoda	113015at6656
Arthropoda	57262at6656
Arthropoda	89810at6656
Arthropoda	127775at6656
Arthropoda	120907at6656
Arthropoda	153155at6656
Arthropoda	54679at6656
Arthropoda	60729at6656
Arthropoda	147322at6656
Arthropoda	135526at6656
Arthropoda	114019at6656
Arthropoda	144652at6656
Arthropoda	116982at6656
Arthropoda	18073at6656
Arthropoda	13736at6656
Arthropoda	113713at6656
Arthropoda	91933at6656
Arthropoda	118037at6656
Arthropoda	118807at6656
Arthropoda	106634at6656
Arthropoda	120383at6656
Arthropoda	93483at6656
Arthropoda	79993at6656
Arthropoda	111239at6656
Arthropoda	23388at6656
Arthropoda	114360at6656
Arthropoda	166485at6656
Arthropoda	17096at6656
Arthropoda	22148at6656
Arthropoda	71937at6656
Arthropoda	38391at6656
Arthropoda	27617at6656
Arthropoda	126442at6656
Arthropoda	141166at6656
Arthropoda	111082at6656
Arthropoda	78854at6656
Arthropoda	147025at6656
Arthropoda	44953at6656
Arthropoda	159420at6656
Arthropoda	93168at6656
Arthropoda	2148at6656
Arthropoda	51037at6656
Arthropoda	20162at6656
Arthropoda	106126at6656
Arthropoda	103749at6656
Arthropoda	145811at6656
Arthropoda	14995at6656
Arthropoda	78254at6656
Arthropoda	73456at6656
Arthropoda	46671at6656
Arthropoda	28685at6656
Arthropoda	1990at6656
Arthropoda	117586at6656
Arthropoda	78947at6656
Arthropoda	36403at6656
Arthropoda	43540at6656
Arthropoda	132854at6656
Arthropoda	53201at6656
Arthropoda	128464at6656
Arthropoda	91313at6656
Arthropoda	47270at6656
Arthropoda	92576at6656
Arthropoda	94304at6656
Arthropoda	125100at6656
Arthropoda	115917at6656
Arthropoda	135764at6656
Arthropoda	44694at6656
Arthropoda	105887at6656
Arthropoda	83372at6656
Arthropoda	91418at6656
Arthropoda	19760at6656
Arthropoda	48519at6656
Arthropoda	93408at6656
Arthropoda	37678at6656
Arthropoda	143709at6656
Arthropoda	23917at6656
Arthropoda	18929at6656
Arthropoda	135203at6656
Arthropoda	31014at6656
Arthropoda	30526at6656
Arthropoda	105170at6656
Arthropoda	135702at6656
Arthropoda	21019at6656
Arthropoda	129902at6656
Arthropoda	63924at6656
Arthropoda	106988at6656
Arthropoda	12846at6656
Arthropoda	142661at6656
Arthropoda	86715at6656
Arthropoda	55450at6656
Arthropoda	56322at6656
Arthropoda	74030at6656
Arthropoda	95524at6656
Arthropoda	99204at6656
Arthropoda	63923at6656
Arthropoda	64896at6656
Arthropoda	96971at6656
Arthropoda	139553at6656
Arthropoda	83350at6656
Arthropoda	134865at6656
Arthropoda	38186at6656
Arthropoda	91468at6656
Arthropoda	19044at6656
Arthropoda	123853at6656
Arthropoda	132857at6656
Arthropoda	100673at6656
